Employee_ID,Job_Satisfaction,Work_Life_Balance,Management_Support,Career_Development,Engagement_Level,Feedback_Comments
E10001,4.3,4.0,3.7,3.2,3.6,Salary is decent but bonuses could be better.
E10002,3.6,2.7,3.7,2.3,3.1,Work is okay but growth opportunities are limited.
E10003,5.0,3.1,4.4,3.2,3.8,"Very happy with my role, learning a lot every day."
E10004,2.9,3.6,2.5,3.5,3.2,Workload is sometimes heavy but manageable.
E10005,4.9,2.2,4.2,3.3,3.9,Excellent team culture and flexible hours.
E10006,5.0,3.5,3.9,5.0,4.6,Compensation is competitive and I feel valued.
E10007,5.0,2.6,4.1,5.0,4.4,Management is supportive and career growth is clear.
E10008,5.0,3.2,4.2,4.6,4.4,Management is supportive and career growth is clear.
E10009,4.6,2.9,4.4,3.9,4.0,Feel recognised for my contributions regularly.
E10010,5.0,3.0,3.7,4.7,4.0,Great work environment with strong mentorship.
E10011,4.2,3.4,3.4,4.7,4.2,Great work environment with strong mentorship.
E10012,3.3,2.6,3.2,2.9,3.0,Salary is decent but bonuses could be better.
E10013,4.5,2.8,3.5,4.5,4.1,Excellent team culture and flexible hours.
E10014,5.0,1.8,4.2,4.8,4.2,Excellent team culture and flexible hours.
E10015,5.0,2.5,3.8,3.4,3.8,Great work environment with strong mentorship.
E10016,4.8,2.7,4.6,4.2,4.2,Excellent team culture and flexible hours.
E10017,4.3,2.2,4.0,3.3,3.6,Reasonable work-life balance most of the time.
E10018,3.8,3.3,3.6,3.2,3.8,Excellent team culture and flexible hours.
E10019,5.0,3.1,3.6,4.5,4.0,Work-life balance is great and the team is collaborative.
E10020,4.4,2.6,3.0,3.1,3.3,"Job is fine, but looking to grow further."
E10021,5.0,3.5,4.0,3.4,4.1,Great work environment with strong mentorship.
E10022,3.5,2.7,3.7,4.8,3.7,Management communication can improve significantly.
E10023,3.2,2.4,3.8,2.9,3.2,Reasonable work-life balance most of the time.
E10024,3.7,3.5,4.0,4.2,3.8,Strong leadership and clear direction from management.
E10025,3.9,3.4,2.7,3.3,3.5,"Job is fine, but looking to grow further."
E10026,4.6,2.8,4.3,4.0,4.0,Compensation is competitive and I feel valued.
E10027,4.9,3.2,4.0,4.6,4.3,Excellent team culture and flexible hours.
E10028,4.3,3.5,3.6,3.7,3.8,Strong leadership and clear direction from management.
E10029,4.6,3.1,4.1,3.4,4.0,Management is supportive and career growth is clear.
E10030,5.0,1.9,4.1,3.4,3.8,Management is supportive and career growth is clear.
E10031,4.2,3.1,3.1,4.4,3.7,Reasonable work-life balance most of the time.
E10032,4.9,3.1,3.8,4.7,4.0,Management is supportive and career growth is clear.
E10033,5.0,2.9,4.0,5.0,4.1,Strong leadership and clear direction from management.
E10034,4.0,2.9,3.0,3.1,3.2,Some processes feel outdated but the team is good.
E10035,3.6,2.5,3.4,2.0,3.0,"Job is fine, but looking to grow further."
E10036,5.0,2.7,4.0,5.0,4.5,Great work environment with strong mentorship.
E10037,4.4,2.0,4.1,2.8,3.5,Could use more clarity on promotion criteria.
E10038,4.9,2.1,4.6,3.6,4.0,Management is supportive and career growth is clear.
E10039,4.3,2.9,4.3,2.8,3.5,Reasonable work-life balance most of the time.
E10040,5.0,3.4,3.5,3.8,3.9,Management is supportive and career growth is clear.
E10041,5.0,2.4,4.4,4.8,4.3,"Very happy with my role, learning a lot every day."
E10042,4.4,3.6,4.1,3.1,3.8,Strong leadership and clear direction from management.
E10043,4.2,3.4,3.0,3.8,3.7,Workload is sometimes heavy but manageable.
E10044,3.2,3.1,2.8,2.9,2.9,Salary is decent but bonuses could be better.
E10045,4.8,1.9,4.0,3.9,3.6,Work is okay but growth opportunities are limited.
E10046,4.6,2.8,4.2,3.9,3.9,Excellent team culture and flexible hours.
E10047,4.7,2.0,3.4,4.3,3.8,"Very happy with my role, learning a lot every day."
E10048,4.9,3.0,3.8,3.6,4.1,Management is supportive and career growth is clear.
E10049,3.9,3.3,3.1,4.1,3.6,Workload is sometimes heavy but manageable.
E10050,2.9,3.6,2.8,4.2,3.3,Salary is decent but bonuses could be better.
E10051,3.6,3.0,2.8,3.1,3.1,Reasonable work-life balance most of the time.
E10052,5.0,2.4,4.0,4.7,4.2,"Very happy with my role, learning a lot every day."
E10053,4.2,3.0,3.6,3.2,3.5,Could use more clarity on promotion criteria.
E10054,4.8,2.2,4.3,2.9,3.8,Strong leadership and clear direction from management.
E10055,3.5,4.1,3.2,3.5,3.4,Management communication can improve significantly.
E10056,3.1,2.5,2.7,3.2,2.9,Some processes feel outdated but the team is good.
E10057,4.1,2.8,3.7,4.9,3.9,Strong leadership and clear direction from management.
E10058,4.8,2.5,3.8,4.8,4.0,Excellent team culture and flexible hours.
