Employee_ID,Age,Gender,Department,Role,Tenure_Years,Employment_Type,Education_Level,Marital_Status,Work_Location
E10001,38,Male,Marketing,Brand Manager,5.6,Part-Time,Bachelor,Single,Seattle
E10002,35,Female,Customer Support,Customer Success Manager,5.7,Full-Time,Associate,Married,Austin
E10003,35,Female,Operations,Process Engineer,6.5,Full-Time,Master,Married,Denver
E10004,24,Male,Finance,Senior Analyst,0.9,Full-Time,Bachelor,Single,Seattle
E10005,48,Female,Engineering,Data Scientist,12.6,Contract,Master,Single,Austin
E10006,32,Female,Engineering,Tech Lead,5.9,Full-Time,Master,Divorced,San Francisco
E10007,36,Female,Engineering,Tech Lead,4.6,Full-Time,Master,Married,Boston
E10008,37,Male,Product,Senior PM,6.6,Part-Time,Master,Single,Seattle
E10009,41,Female,Finance,Finance Manager,8.1,Full-Time,Master,Single,Boston
E10010,31,Male,Operations,Operations Manager,3.6,Full-Time,Master,Divorced,New York
E10011,26,Female,Engineering,Software Engineer,1.4,Full-Time,Master,Single,Boston
E10012,32,Male,Customer Support,Senior Support Agent,4.6,Full-Time,Bachelor,Married,Seattle
E10013,33,Male,Product,Product Manager,3.7,Full-Time,PhD,Single,Remote
E10014,34,Male,Engineering,Tech Lead,5.9,Full-Time,Master,Married,New York
E10015,35,Male,Engineering,DevOps Engineer,8.9,Part-Time,Bachelor,Married,Chicago
E10016,32,Non-Binary,Engineering,DevOps Engineer,4.8,Full-Time,Bachelor,Single,San Francisco
E10017,34,Male,Sales,Business Development Rep,7.7,Full-Time,Master,Single,Boston
E10018,31,Female,HR,HR Generalist,3.5,Full-Time,Bachelor,Married,New York
E10019,34,Male,Marketing,Brand Manager,5.4,Full-Time,Master,Married,Chicago
E10020,29,Male,Sales,Account Manager,3.0,Full-Time,Associate,Single,Austin
E10021,36,Female,Finance,Accountant,6.7,Full-Time,Master,Married,Boston
E10022,28,Male,Engineering,Software Engineer,1.4,Full-Time,Bachelor,Single,Seattle
E10023,38,Female,Sales,Business Development Rep,8.9,Full-Time,Bachelor,Single,Seattle
E10024,30,Male,Sales,Account Manager,2.4,Full-Time,Master,Single,Seattle
E10025,40,Female,Marketing,Brand Manager,7.9,Contract,Bachelor,Divorced,New York
E10026,38,Male,Product,Associate PM,7.5,Full-Time,Master,Single,Atlanta
E10027,29,Female,Engineering,Tech Lead,2.3,Full-Time,Bachelor,Married,San Francisco
E10028,36,Male,HR,Recruiter,4.3,Full-Time,PhD,Single,Boston
E10029,32,Female,Finance,Finance Manager,4.8,Full-Time,Bachelor,Single,Remote
E10030,41,Female,Engineering,Data Scientist,10.1,Full-Time,Associate,Single,Austin
E10031,29,Male,Finance,Financial Analyst,2.0,Full-Time,PhD,Married,Atlanta
E10032,31,Male,Engineering,Senior Engineer,3.2,Full-Time,Bachelor,Single,New York
E10033,32,Female,Engineering,Senior Engineer,2.7,Full-Time,PhD,Married,Denver
E10034,38,Female,Customer Support,Support Team Lead,4.8,Contract,Master,Divorced,Austin
E10035,40,Male,Customer Support,Customer Success Manager,12.0,Full-Time,Associate,Single,Denver
E10036,32,Female,Product,Senior PM,3.7,Full-Time,Bachelor,Married,San Francisco
E10037,36,Female,Sales,Business Development Rep,7.0,Full-Time,Associate,Single,Atlanta
E10038,33,Female,Engineering,DevOps Engineer,7.6,Full-Time,Bachelor,Single,Seattle
E10039,35,Non-Binary,Operations,Process Engineer,8.3,Full-Time,Bachelor,Single,Remote
E10040,43,Female,Marketing,Brand Manager,6.6,Full-Time,Bachelor,Married,Seattle
E10041,28,Female,Engineering,Senior Engineer,2.3,Full-Time,PhD,Single,Boston
E10042,30,Male,HR,Recruiter,4.2,Part-Time,Bachelor,Married,Remote
E10043,29,Male,Engineering,Software Engineer,2.4,Contract,Bachelor,Single,Denver
E10044,28,Female,Customer Support,Support Specialist,2.1,Full-Time,Bachelor,Married,Boston
E10045,34,Female,Sales,Sales Manager,5.2,Full-Time,Bachelor,Married,New York
E10046,44,Female,Operations,Process Engineer,8.2,Full-Time,Master,Single,New York
E10047,37,Male,Sales,Sales Manager,6.6,Full-Time,Bachelor,Married,New York
E10048,33,Male,HR,Recruiter,5.4,Full-Time,PhD,Single,Seattle
